City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,Queenstown,-31.8976,26.8753,283.67,78,0,1.16,ZA,1697142842
331,Port Pirie,-33.1833,138.0167,282.52,84,2,2.5,AU,1697143065
332,Farafangana,-22.8167,47.8333,296.2,89,98,2.44,MG,1697143065
333,Ataq,14.5377,46.8319,294.93,78,10,3.07,YE,1697143065
334,Salina Cruz,16.1667,-95.2,304.72,66,62,7.54,MX,1697143065
335,La Ronge,55.1001,-105.2842,283.29,71,75,3.6,CA,1697143065
336,Pirane,-25.7324,-59.1088,288.55,57,100,3.11,AR,1697143065
337,Alesund,62.4723,6.1549,281.67,72,75,5.66,NO,1697143066
338,Castuera,38.732,-5.5439,295.55,25,9,2.61,ES,1697143066
339,Merizo Village,13.2658,144.6691,300.46,95,98,10.72,GU,1697143066
340,Lubbock,33.6001,-101.8338,304.47,25,20,1.79,US,1697143066
341,Sandnessjoen,66.0217,12.6316,278.38,81,20,1.54,NO,1697142998
342,Along,28.1667,94.7667,291.93,97,69,0.73,IN,1697143066
343,Tolanaro,-25.0319,46.9987,293.19,94,75,5.14,MG,1697143066
344,Nemuro,43.3236,145.575,285.01,73,0,4.84,JP,1697143066
345,Atafu Village,-8.5421,-172.5159,301.69,78,6,6.06,TK,1697143066
346,Touros,-5.1989,-35.4608,298.88,81,3,7.72,BR,1697143066
347,Alice Springs,-23.7,133.8833,285.9,41,1,3.09,AU,1697143066
348,Abadeh,31.1608,52.6506,289.1,36,20,1.03,IR,1697143067
349,Berdigestyakh,62.0989,126.6992,274.42,97,100,2.24,RU,1697143067
350,Okha,53.5739,142.9478,281.46,83,100,4.81,RU,1697143067
351,Afaahiti,-17.75,-149.2833,301.08,79,52,5.42,PF,1697143067
